Year,Female,Male,Total,Number_(thousands),Median_Income_Current_dollars,Median_Income_2022_dollars,Mean_Income_Current_dollars,Mean_Income_2022_dollars,Average_size_of_household,Population_in_thousands,Per_capita_income_Current_dollars,Per_capita_income_2022_dollars
1975,1531063,1613135,3144198,72870,11800,55100,13780,64340,2.89,211100,4818,22500
1976,1543352,1624436,3167788,74140,12690,56040,14920,65920,2.86,212600,5271,23290
1977,1620716,1705916,3326632,76030,13570,56320,16100,66810,2.81,214200,5785,24000
1978,1623885,1709394,3333279,77330,15060,58510,17730,68860,2.78,215900,6455,25070
1979,1703131,1791267,3494398,80780,16460,58400,19550,69370,2.76,223200,7168,25430
1980,1759642,1852616,3612258,82370,17710,56580,21060,67300,2.73,225200,7787,24880
1981,1768966,1860272,3629238,83530,19070,55630,22790,66460,2.72,227400,8476,24720
1982,1794861,1885676,3680537,83920,20170,55470,24310,66850,2.73,229600,8980,24700
1983,1773380,1865553,3638933,85410,20890,55120,25400,67040,2.71,231900,9494,25060
1984,1789651,1879490,3669141,86790,22420,56780,27460,69570,2.69,234100,10330,26160
1985,1832578,1927983,3760561,88460,23620,57860,29070,71210,2.67,236700,11010,26980
1986,1831679,1924868,3756547,89480,24900,60010,30760,74140,2.66,238800,11670,28130
1987,1858241,1951153,3809394,91120,26060,60760,32410,75560,2.64,241200,12390,28890
1988,1907086,2002424,3909510,92830,27230,61210,34020,76480,2.62,243700,13120,29500
1989,1971468,2069490,4040958,93350,28910,62260,36520,78660,2.63,246200,14060,30270
1990,2028717,2129495,4158212,94310,29940,61500,37400,76820,2.63,248900,14390,29550
1991,2009389,2101518,4110907,95670,30130,59710,37920,75160,2.62,251400,14620,28970
1992,1982917,2082097,4065014,96430,30640,59210,38840,75070,2.66,256800,14850,28700
1993,1951379,2048861,4000240,97110,31240,58920,41430,78140,2.67,259800,15780,29760
1994,1930178,2022589,3952767,98990,32260,59550,43130,79610,2.65,262100,16560,30560
1995,1903234,1996355,3899589,99630,34080,61440,44940,81030,2.65,264300,17230,31060
1996,1901014,1990480,3891494,101000,35490,62350,47120,82780,2.64,266800,18140,31860
1997,1895298,1985596,3880894,102500,37010,63640,49690,85460,2.62,269100,19240,33090
1998,1925348,2016205,3941553,103900,38890,65980,51860,87980,2.61,271700,20120,34140
1999,1932563,2026854,3959417,106400,40700,67650,54740,90990,2.6,276800,21240,35310
2000,1981845,2076969,4058814,108200,41990,67470,57140,91810,2.58,279500,22350,35910
2001,1968011,2057922,4025933,109300,42230,66360,58210,91470,2.58,282100,22850,35910
2002,1963747,2057979,4021726,111300,42410,65820,57850,89790,2.57,285900,22790,35380
2003,1996415,2093535,4089950,112000,43320,65860,59070,89810,2.57,288300,23280,35390
2004,2007391,2104661,4112052,113300,44330,65760,60470,89690,2.57,291200,23860,35390
2005,2019367,2118982,4138349,114400,46330,66780,63340,91310,2.57,293800,25040,36090
2006,2081318,2184237,4265555,116000,48200,67520,66570,93260,2.56,296800,26350,36920
2007,2108162,2208071,4316233,116800,50230,68610,67610,92340,2.56,299100,26800,36610
2008,2074305,2173389,4247694,117200,50300,66280,68420,90150,2.57,301500,26960,35530
2009,2016809,2113856,4130665,117500,49780,65850,67980,89920,2.59,304300,26530,35100
2010,1952451,2046935,3999386,119900,49280,64300,67390,87940,2.56,306600,26560,34660
2011,1929538,2024052,3953590,121100,50050,63350,69680,88190,2.55,308800,27550,34870
2012,1931407,2021434,3952841,122500,51020,63350,71270,88500,2.54,311100,28280,35120
2013,1919227,2012954,3932181,123000,51940,63720,72640,89120,2.55,313400,28830,35370
2014,1947375,2040701,3988076,124600,53660,64900,75740,91610,2.54,316200,30180,36500
2015,1942336,2036161,3978497,125800,56520,68410,79260,95950,2.53,318900,31650,38320
2016,1927692,2018183,3945875,126200,59040,70840,83140,99760,2.54,320400,33210,39840
2017,1882615,1972885,3855500,127600,61370,72370,86220,101700,2.53,323200,34490,40670
2018,1853533,1938179,3791712,128600,63180,73030,90020,104100,2.52,324400,36080,41700
2019,1830094,1917446,3747540,128500,68700,78250,98090,111700,2.53,325300,39160,44600
2020,1765555,1848092,3613647,129200,68010,76660,97470,109900,2.54,328100,38930,43890
2021,1790876,1873416,3664292,131200,70780,76330,102300,110300,2.5,328700,41290,44520
